Move Range,K,Q,R,B,N,P
1-20,6.42,4.50,1.84,18.57,25.42,43.24
21-40,5.26,13.85,13.56,19.70,21.30,26.33
41-60,7.66,16.25,25.47,14.27,15.22,21.13
61-80,16.62,15.02,26.70,11.44,11.62,18.60
81-100,26.15,11.35,25.11,9.97,9.55,17.87
101-120,34.07,8.67,24.53,9.62,8.86,14.25
121-140,38.01,9.14,22.67,10.32,7.96,11.90
