Move Range,K,Q,R,B,N,P
1-20,1784,593,139,4181,4482,8772
21-40,358,2242,2826,3849,4127,4770
41-60,793,2330,3974,1613,1776,1367
61-80,1246,763,1601,457,568,319
81-100,667,206,485,107,211,41
101-120,230,25,105,20,65,0
121-140,20,0,6,2,7,0
