Move Range,K,Q,R,B,N,P
1-20,6.28,4.71,1.44,17.28,25.11,45.18
21-40,5.30,13.70,13.41,19.95,21.17,26.47
41-60,7.65,15.82,24.47,14.97,16.27,20.82
61-80,15.38,14.38,26.86,12.30,12.41,18.67
81-100,23.52,10.74,26.70,12.34,9.97,16.74
101-120,31.30,8.95,26.14,10.07,9.01,14.53
121-140,34.29,9.81,22.14,11.07,11.34,11.34
