Move Range,K,Q,R,B,N,P
1-20,1778,246,99,3609,4183,10068
21-40,302,2025,2660,3788,4725,4978
41-60,648,2317,3635,1581,1752,1348
61-80,1259,701,1360,341,516,454
81-100,818,224,344,86,177,107
101-120,191,27,67,5,36,9
121-140,17,0,0,0,2,0
