Move Range,K,Q,R,B,N,P
1-20,8.90,1.23,0.50,18.06,20.93,50.38
21-40,1.63,10.96,14.40,20.50,25.57,26.94
41-60,5.74,20.54,32.22,14.01,15.53,11.95
61-80,27.19,15.14,29.37,7.36,11.14,9.80
81-100,46.58,12.76,19.59,4.90,10.08,6.09
101-120,57.01,8.06,20.00,1.49,10.75,2.69
121-140,89.47,0.00,0.00,0.00,10.53,0.00
