Move Range,K,Q,R,B,N,P
1-20,8.63,1.41,0.30,17.76,21.10,50.80
21-40,1.94,11.36,14.23,18.69,23.24,30.53
41-60,5.93,20.59,31.61,13.46,15.46,12.96
61-80,26.30,17.81,27.46,6.93,10.24,11.26
81-100,50.43,15.21,14.69,4.77,8.10,6.80
101-120,60.77,15.19,8.18,3.34,9.18,3.34
121-140,58.82,20.59,5.88,0.00,8.82,5.88
