Move Range,K,Q,R,B,N,P
1-20,148541,273386,59103,590386,727263,1578470
21-40,278291,502696,287809,533023,654900,773809
41-60,324958,421207,470907,280376,321518,399527
61-80,300327,203024,291379,94372,103613,216377
81-100,202411,86911,103251,26238,27097,104455
101-120,86320,38948,24522,5599,5337,26469
121-140,2441,1739,761,119,139,312
