Move Range,K,Q,R,B,N,P
1-20,6.58,2.13,0.40,17.81,18.92,54.16
21-40,5.03,13.52,11.95,20.78,23.42,25.31
41-60,10.87,19.40,29.38,12.08,15.65,12.63
61-80,28.64,14.51,26.78,6.15,10.79,13.14
81-100,46.51,13.83,16.62,2.61,6.46,13.98
101-120,57.90,18.96,12.30,0.68,2.71,7.45
121-140,60.53,17.11,15.79,0.00,1.32,5.26
