Move Range,K,Q,R,B,N,P
1-20,9.19,1.60,0.40,19.29,21.44,48.09
21-40,1.38,12.31,13.71,19.54,25.54,27.52
41-60,5.81,20.86,31.61,13.68,15.88,12.17
61-80,26.14,14.91,30.30,8.34,11.88,8.42
81-100,43.85,12.57,22.91,5.30,12.62,2.76
101-120,49.53,6.36,19.81,2.99,20.37,0.93
121-140,53.70,7.41,9.26,0.00,27.78,1.85
