Move Range,K,Q,R,B,N,P
1-20,3589,2516,1031,10380,14206,24162
21-40,2919,7682,7519,10929,11817,14604
41-60,3960,8397,13166,7374,7869,10919
61-80,6696,6051,10756,4608,4682,7492
81-100,6609,2868,6346,2520,2413,4516
101-120,4746,1208,3417,1340,1234,1985
121-140,2421,582,1444,657,507,758
