Move Range,K,Q,R,B,N,P
1-20,1725,282,59,3548,4217,10151
21-40,366,2138,2678,3517,4374,5746
41-60,762,2644,4059,1728,1985,1664
61-80,1610,1090,1681,424,627,689
81-100,1164,351,339,110,187,157
101-120,364,91,49,20,55,20
121-140,20,7,2,0,3,2
