Move Range,K,Q,R,B,N,P
1-20,1826,317,80,3833,4261,9556
21-40,251,2238,2493,3553,4645,5004
41-60,668,2400,3637,1574,1827,1400
61-80,1285,733,1489,410,584,414
81-100,827,237,432,100,238,52
101-120,265,34,106,16,109,5
121-140,29,4,5,0,15,1
