Move Range,K,Q,R,B,N,P
1-20,8.94,2.97,0.70,20.96,22.47,43.97
21-40,1.97,12.34,15.55,21.18,22.71,26.25
41-60,6.69,19.66,33.53,13.61,14.98,11.53
61-80,25.15,15.40,32.32,9.22,11.47,6.44
81-100,38.85,12.00,28.25,6.23,12.29,2.39
101-120,51.69,5.62,23.60,4.49,14.61,0.00
121-140,57.14,0.00,17.14,5.71,20.00,0.00
