Move Range,K,Q,R,B,N,P
1-20,1331,1000,306,3665,5326,9582
21-40,1099,2841,2780,4136,4389,5489
41-60,1369,2830,4377,2677,2909,3723
61-80,1922,1796,3356,1537,1550,2332
81-100,1487,679,1688,780,630,1058
101-120,976,279,815,314,281,453
121-140,381,109,246,123,126,126
