Move Range,K,Q,R,B,N,P
1-20,1311,424,80,3546,3768,10786
21-40,915,2461,2174,3782,4262,4606
41-60,1335,2383,3609,1484,1922,1552
61-80,1709,866,1598,367,644,784
81-100,1231,366,440,69,171,370
101-120,513,168,109,6,24,66
121-140,46,13,12,0,1,4
