Move Range,K,Q,R,B,N,P
1-20,15,23,4,65,86,147
21-40,34,46,28,63,72,87
41-60,36,39,75,22,41,49
61-80,23,11,36,10,30,32
81-100,1,9,6,6,4,4
101-120,1,3,0,0,1,0
121-140,0,0,0,0,0,0
141-160,0,0,0,0,0,0
161-180,0,0,0,0,0,0
181-200,0,0,0,0,0,0
201-220,0,0,0,0,0,0
221-240,0,0,0,0,0,0
241-260,0,0,0,0,0,0
