Move Range,K,Q,R,B,N,P
1-20,235,213,58,737,1007,1710
21-40,222,532,572,782,836,1013
41-60,301,539,1036,524,621,799
61-80,641,327,1038,381,412,704
81-100,816,132,868,256,309,564
101-120,877,57,618,231,216,331
121-140,644,50,368,115,134,174
141-160,310,7,169,46,37,71
161-180,112,12,72,23,19,27
181-200,26,1,16,7,14,11
201-220,9,0,10,0,4,0
221-240,8,0,8,0,4,0
241-260,0,0,2,0,1,0
